time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Version()	Battery level(%)
2024-12-23 9:46:38:900	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	84.89	-45.47	-178.98	-4.333	-46.458	210.892	-0.28699	0.29742	0.61792	0.66876	26.4	10080.1.13	60
2024-12-23 9:46:39:27	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	84.89	-43.86	-179.26	-4.333	-46.458	210.892	-0.28699	0.29742	0.61792	0.66876	26.4	10080.1.13	60
2024-12-23 9:46:39:95	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.38	-41.67	-179.85	-4.333	-46.458	210.892	-0.23468	0.25439	0.63742	0.68829	26.4	10080.1.13	60
2024-12-23 9:46:39:231	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.82	-39.40	179.75	-4.333	-46.458	210.892	-0.23468	0.25439	0.63742	0.68829	26.4	10080.1.13	60
2024-12-23 9:46:39:321	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.15	-38.11	179.56	-3.575	-47.275	209.975	-0.23468	0.25439	0.63742	0.68829	26.4	10080.1.13	60
2024-12-23 9:46:39:433	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	86.01	-40.34	179.76	-3.575	-47.275	209.975	-0.23468	0.25439	0.63742	0.68829	26.4	10080.1.13	60
2024-12-23 9:46:39:502	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	84.92	-51.75	-179.11	-3.575	-47.275	209.975	-0.29822	0.31580	0.61041	0.66229	26.4	10080.1.13	60
2024-12-23 9:46:39:613	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	84.85	-52.76	-179.10	-3.575	-47.275	209.975	-0.29822	0.31580	0.61041	0.66229	26.4	10080.1.13	60
2024-12-23 9:46:39:706	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	84.72	-53.03	-179.17	-5.758	-44.525	204.908	-0.29822	0.31580	0.61041	0.66229	26.4	10080.1.13	60
2024-12-23 9:46:39:815	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	84.38	-51.61	-179.10	-5.758	-44.525	204.908	-0.29822	0.31580	0.61041	0.66229	26.4	10080.1.13	60
2024-12-23 9:46:39:913	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	84.33	-49.44	-179.29	-5.758	-44.525	204.908	-0.27658	0.29843	0.61563	0.67477	26.4	10080.1.13	60
2024-12-23 9:46:40:17	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	84.69	-48.09	-179.60	-5.758	-44.525	204.908	-0.27658	0.29843	0.61563	0.67477	26.4	10080.1.13	60
2024-12-23 9:46:40:107	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.03	-47.67	-179.57	-6.225	-45.642	217.667	-0.27658	0.29843	0.61563	0.67477	26.4	10080.1.13	60
2024-12-23 9:46:40:220	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.36	-46.72	-179.47	-6.225	-45.642	217.667	-0.27658	0.29843	0.61563	0.67477	26.4	10080.1.13	60
2024-12-23 9:46:40:333	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.39	-47.68	-179.15	-6.225	-45.642	217.667	-0.29193	0.30368	0.61697	0.66467	26.4	10080.1.13	60
2024-12-23 9:46:40:445	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	85.01	-51.44	-178.54	-6.225	-45.642	217.667	-0.29193	0.30368	0.61697	0.66467	26.4	10080.1.13	60
2024-12-23 9:46:40:515	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	84.07	-59.92	-177.33	-6.825	-42.625	199.892	-0.29193	0.30368	0.61697	0.66467	26.4	10080.1.13	60
2024-12-23 9:46:40:625	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	84.06	-63.01	-177.06	-6.825	-42.625	199.892	-0.29193	0.30368	0.61697	0.66467	26.4	10080.1.13	60
2024-12-23 9:46:40:715	WT901BLE67(C3:46:8C:7D:9E:3D)	0.000	0.000	0.000	0.305	-0.122	0.122	83.73	-64.11	-176.62	-6.825	-42.625	199.892	-0.37054	0.37509	0.57828	0.62247	26.4	10080.1.13	60
